-20	0	100
-20	0	125
-20	0	150
-20	0	175
-20	0	200
-20	4	100
-20	4	125
-20	4	150
-20	4	175
-20	4	200
-20	8	100
-20	8	125
-20	8	150
-20	8	175
-20	8	200
-20	12	100
-20	12	125
-20	12	150
-20	12	175
-20	12	200
-20	16	100
-20	16	125
-20	16	150
-20	16	175
-20	16	200
-10	0	100
-10	0	125
-10	0	150
-10	0	175
-10	0	200
-10	4	100
-10	4	125
-10	4	150
-10	4	175
-10	4	200
-10	8	100
-10	8	125
-10	8	150
-10	8	175
-10	8	200
-10	12	100
-10	12	125
-10	12	150
-10	12	175
-10	12	200
-10	16	100
-10	16	125
-10	16	150
-10	16	175
-10	16	200
0	0	100
0	0	125
0	0	150
0	0	175
0	0	200
0	4	100
0	4	125
0	4	150
0	4	175
0	4	200
0	8	100
0	8	125
0	8	150
0	8	175
0	8	200
0	12	100
0	12	125
0	12	150
0	12	175
0	12	200
0	16	100
0	16	125
0	16	150
0	16	175
0	16	200
10	0	100
10	0	125
10	0	150
10	0	175
10	0	200
10	4	100
10	4	125
10	4	150
10	4	175
10	4	200
10	8	100
10	8	125
10	8	150
10	8	175
10	8	200
10	12	100
10	12	125
10	12	150
10	12	175
10	12	200
10	16	100
10	16	125
10	16	150
10	16	175
10	16	200
20	0	100
20	0	125
20	0	150
20	0	175
20	0	200
20	4	100
20	4	125
20	4	150
20	4	175
20	4	200
20	8	100
20	8	125
20	8	150
20	8	175
20	8	200
20	12	100
20	12	125
20	12	150
20	12	175
20	12	200
20	16	100
20	16	125
20	16	150
20	16	175
20	16	200
